location,lat,lng,date,time_start,mode,volume
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T14:30:00,ped,83.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T14:30:00,bike,0.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T14:30:00,vehicle,240.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T14:45:00,ped,88.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T14:45:00,bike,0.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T14:45:00,vehicle,234.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T16:00:00,ped,101.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T16:00:00,bike,2.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T16:00:00,vehicle,239.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T16:15:00,ped,87.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T16:15:00,bike,3.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T16:15:00,vehicle,247.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T16:30:00,ped,91.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T16:30:00,bike,1.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T16:30:00,vehicle,289.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T16:45:00,ped,98.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T16:45:00,bike,2.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T16:45:00,vehicle,274.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T17:00:00,ped,118.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T17:00:00,bike,0.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T17:00:00,vehicle,269.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T17:15:00,ped,109.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T17:15:00,bike,0.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T17:15:00,vehicle,291.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T17:30:00,ped,115.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T17:30:00,bike,0.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T17:30:00,vehicle,276.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T17:45:00,ped,116.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T17:45:00,bike,2.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T17:45:00,vehicle,266.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T07:30:00,ped,103.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T07:30:00,bike,4.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T07:30:00,vehicle,268.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T07:45:00,ped,105.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T07:45:00,bike,9.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T07:45:00,vehicle,292.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T08:00:00,ped,117.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T08:00:00,bike,11.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T08:00:00,vehicle,319.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T08:15:00,ped,127.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T08:15:00,bike,16.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T08:15:00,vehicle,330.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T08:30:00,ped,190.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T08:30:00,bike,15.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T08:30:00,vehicle,332.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T08:45:00,ped,197.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T08:45:00,bike,18.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T08:45:00,vehicle,295.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T09:00:00,ped,156.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T09:00:00,bike,15.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T09:00:00,vehicle,323.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T09:15:00,ped,139.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T09:15:00,bike,13.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T09:15:00,vehicle,318.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T10:00:00,ped,118.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T10:00:00,bike,4.0
Dundas St W / Elizabeth St,43.6554122167551,-79.3851894884453,2020-02-11,2020-02-11T10:00:00,vehicle,257.0
